Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-10-11,18.4107,18.826,18.2955,18.7698,769274.33651052
2005-10-12,18.7063,18.7063,18.2329,18.2955,434689.06131522
2005-10-13,18.2955,18.4107,17.3423,17.5191,1126423.6779175
2005-10-14,17.5191,17.7024,17.2852,17.2852,3485739.1567651
2005-10-17,17.3423,17.5826,17.3423,17.3423,1711597.5512197
2005-10-18,17.462,17.5191,16.926,17.1083,1781917.299199
2005-10-19,16.6911,16.8688,16.2122,16.5714,2864368.393041
2005-10-20,16.8688,16.9877,16.3955,16.7492,3509219.5022488
2005-10-21,16.6911,16.8688,16.6276,16.6911,1969717.0607918
2005-10-24,16.6911,16.8688,16.3319,16.6276,3735033.2760931
2005-10-25,16.7492,17.0449,16.6911,16.926,3612938.7874455
2005-10-26,16.9877,17.0449,16.4517,16.926,2640846.9713104
2005-10-27,16.5714,16.7492,16.5089,16.6276,2575233.21603
2005-10-28,16.5089,16.5089,16.0979,16.3319,4392677.0111897
2005-10-31,16.4517,16.926,16.3319,16.5089,1965843.5480572
2005-11-02,16.8688,17.2217,16.8117,17.1655,3342399.3383792
2005-11-03,17.2852,17.7024,17.1655,17.7024,3140760.5621743
2005-11-04,17.7024,17.7586,17.462,17.6388,2172317.32379
2005-11-07,17.5826,17.6388,17.0449,17.4048,1339303.6901969
2005-11-08,17.2217,17.2217,16.926,16.926,1145697.5186808
2005-11-09,16.926,17.1083,16.8688,17.1083,1413632.5734746
2005-11-10,17.2852,17.3423,16.8688,16.9877,1205798.1616146
2005-11-14,17.2852,17.3423,16.9877,17.0449,3185276.7391271
2005-11-15,17.1655,17.462,17.1083,17.4048,3082661.1790222
2005-11-16,17.4048,17.5191,16.6911,16.926,5423151.5844515
2005-11-17,16.8688,17.1083,16.8117,17.1083,2810453.4621598
2005-11-18,17.2217,17.2852,16.8688,16.9877,2498026.4881075
2005-11-21,17.0449,17.0449,16.8688,16.9877,1503604.3617241
2005-11-22,16.926,16.926,16.6276,16.6911,1370668.8889585
